Study ID,Consent,Cum GPA,Major,"8442434: Maggie has recently opened a new boutique, ""Maggie's Designs"", and is trying to understand her business metrics. She knows that each dress costs her $50 to produce (variable cost) and she sells each dress for $100. Maggie also has to pay $2000 monthly for her boutique rental (fixed cost). If Maggie wants to find out her break-even point (in number of units), how many dresses does she need to sell?",0.25,"8442435: You have opened a boutique selling handmade jewelry. Your fixed costs, including store lease, utilities, and insurance, total $12,000 per month. The variable costs for materials and labor per piece of jewelry are $5. You sell each piece for $15. How many pieces of jewelry do you need to sell to break-even?",0.25,"8442439: You are the manager of a luxury pizza restaurant. Your variable costs, which include ingredients and staff wages, are $15 per pizza. Your fixed costs, such as rent, utilities, and management salaries, sum up to $60,000 per month. If each pizza is sold for $45, how many pizzas do you need to sell in a month to reach the break-even point?",0.25,"8442440: You've started running a small coffee shop. In your monthly expenses, you have $12000 per year for rent, $800 per year for utilities and $30,000 salary for management.  For each cup of coffee, you spend $1.5 on beans, milk, sugar, and barista labor. You sell each cup for $5. From the following options, which one is an example of a fixed cost and which one is a variable cost?
",0.25,8442441: Which of the following is NOT a personal factor that can influence a consumer's purchase decision?,0.25,"8442442: A marketing strategist has implemented the scarcity theory in his strategy, hoping to influence consumer purchase decisions. What does the scarcity theory suggest about consumer behavior?",0.25,"8442444: An international clothing brand is planning to launch a new line of products in the USA. They have an understanding of the USA consumer market, which has 350 million consumers purchasing approximately $14,000,000,000 goods and services. To maximize their sales, they need to understand the consumer buyer behavior. According to our in class sessions, which of the following processes is NOT part of the buyer decision process?",0.25,"8442445: As a product manager for ""GreenGlide"", a company that manufactures eco-friendly skateboards, you are in charge of identifying a suitable target market for their new product line. Which of the following factors is NOT crucial in evaluating the potential attractiveness of a target market segment?",0.25,"8442446: You are the product manager for a company called ""SportyBoost,"" which manufactures athletic shoes. Your task is to identify a promising segment to target for a new line of running shoes. Which of the following criteria should you consider when evaluating the attractiveness of different market segments?",0.25,"8442447: You are the marketing manager for a new brand of high-end, eco-friendly sneakers named ""EcoSteps"". Your shoes are made of recycled materials and are targeted towards environmentally conscious consumers who are willing to pay a premium for sustainable products. Which of the following would capture the positioning of EcoSteps?",0.25,"8442449: You are the marketing manager for a company called ""FitFresh"", that offers a unique meal delivery service focused on fresh, healthy, and personalized food options. As part of your marketing strategy, you want to use a positioning map to understand the perception of your offering versus competitors. Which of the following statements is the best explanation of how a positioning map could be useful in this context?",0.25,"8442575: An e-commerce company reports the following customer data:


Average order value = $80


Average purchase frequency = 5 times per year


Average customer lifespan = 4 years


Average of 3 TikTok videos per year featuring the companyâ€™s products


According to our in-class sessions and our Armstrong and Kotler Marketing textbook, calculate the LTV of the customer.",0.25,"8442580: Generally speaking, which of the following statements is true:",0.25,"8442595: Monster Energy claims that it can ""Unleash the Beast"" in its drinker. ""Unleash the Beast"" would be an example of differentiation by:",0.25,"8442700: True or False question.
The positioning map indicates that Shein and Forever 21 compete directly in the clothing market.
",0.25,"8442701: A regional outdoor apparel company is evaluating two segments:


Segment A consists of 2 million casual buyers and is highly competitive with many national brands.


Segment B consists of 250,000 serious hikers, has moderate competition, and strongly values the companyâ€™s specialized, high-performance gear.


Which segment should the company most likely target?",0.25,n correct,n incorrect,score
259,Yes,3.334,Accounting,40 dresses,0.25,1200 pieces,0.25,2000 pizzas,0.25,"Fixed: Rent, Utilities, and Management; Variable: Cost of beans, milk, sugar, and barista labor",0.25,Perception,0.25,Consumers are more likely to buy a product if they believe it is unique and not easily available.,0.25,Product Distribution,0.25,Color preference of the target segment,0.25,All of the above,0.25,"""EcoSteps, the premium, sustainable sneaker for environmentally conscious consumers.""",0.25,A positioning map would help FitFresh understand consumer perceptions of their offering versus competitors.,0.25,"$1,600 + the value of social media posts",0,All responses are correct.,0,brand,0.25,TRUE,0.25,"Segment A, because it has the largest number of potential customers",0,13,3,4
258,Yes,3.213,International Business,40 dresses,0.25,1200 pieces,0.25,2000 pizzas,0.25,"Fixed: Rent, Utilities, and Management; Variable: Cost of beans, milk, sugar, and barista labor",0.25,Perception,0.25,Consumers are more likely to buy a product if they believe it is unique and not easily available.,0.25,Product Distribution,0.25,Color preference of the target segment,0.25,All of the above,0.25,"""EcoSteps, the premium, sustainable sneaker for environmentally conscious consumers.""",0.25,A positioning map would help FitFresh understand consumer perceptions of their offering versus competitors.,0.25,"$1,600 ",0.25,Different market segments require different marketing mixes.,0.25,brand,0.25,TRUE,0.25,"Segment B, because it aligns better with the companyâ€™s strengths and faces less direct competition",0.25,16,0,4
212,Yes,3.188,Economics,40 dresses,0.25,1200 pieces,0.25,2000 pizzas,0.25,"Fixed: Rent, Utilities, and Management; Variable: Cost of beans, milk, sugar, and barista labor",0.25,Perception,0.25,Consumers are more likely to buy a product if they believe it is unique and not easily available.,0.25,Product Distribution,0.25,Color preference of the target segment,0.25,All of the above,0.25,"""EcoSteps, the premium, sustainable sneaker for environmentally conscious consumers.""",0.25,A positioning map would help FitFresh understand consumer perceptions of their offering versus competitors.,0.25,"$1,600 ",0.25,Different market segments require different marketing mixes.,0.25,brand,0.25,TRUE,0.25,"Segment B, because it aligns better with the companyâ€™s strengths and faces less direct competition",0.25,16,0,4
122,Yes,3.954,Accounting,40 dresses,0.25,1200 pieces,0.25,2000 pizzas,0.25,"Fixed: Rent, Utilities, and Management; Variable: Cost of beans, milk, sugar, and barista labor",0.25,Perception,0.25,Consumers are more likely to buy a product if they believe it is unique and not easily available.,0.25,Product Distribution,0.25,Color preference of the target segment,0.25,All of the above,0.25,"""EcoSteps, the premium, sustainable sneaker for environmentally conscious consumers.""",0.25,A positioning map would help FitFresh understand consumer perceptions of their offering versus competitors.,0.25,"$1,600 ",0.25,Different market segments require different marketing mixes.,0.25,brand,0.25,TRUE,0.25,"Segment B, because it aligns better with the companyâ€™s strengths and faces less direct competition",0.25,16,0,4
182,Yes,3.974,Accounting,40 dresses,0.25,1200 pieces,0.25,2000 pizzas,0.25,"Fixed: Rent, Utilities, and Management; Variable: Cost of beans, milk, sugar, and barista labor",0.25,Perception,0.25,Consumers are more likely to buy a product if they believe it is unique and not easily available.,0.25,Product Distribution,0.25,Color preference of the target segment,0.25,All of the above,0.25,"""EcoSteps, the premium, sustainable sneaker for environmentally conscious consumers.""",0.25,A positioning map would help FitFresh understand consumer perceptions of their offering versus competitors.,0.25,"$1,600 + the value of social media posts",0,Different market segments require different marketing mixes.,0.25,brand,0.25,TRUE,0.25,"Segment B, because it aligns better with the companyâ€™s strengths and faces less direct competition",0.25,15,1,4
170,Yes,3.38,Accounting,40 dresses,0.25,1200 pieces,0.25,2000 pizzas,0.25,"Fixed: Rent, Utilities, and Management; Variable: Cost of beans, milk, sugar, and barista labor",0.25,Perception,0.25,Consumers are more likely to buy a product if they believe it is unique and not easily available.,0.25,Post-Purchase Evaluation,0,Color preference of the target segment,0.25,All of the above,0.25,"""EcoSteps, the premium, sustainable sneaker for environmentally conscious consumers.""",0.25,A positioning map would help FitFresh understand consumer perceptions of their offering versus competitors.,0.25,"$1,600 ",0.25,Different market segments require different marketing mixes.,0.25,brand,0.25,TRUE,0.25,"Segment B, because it aligns better with the companyâ€™s strengths and faces less direct competition",0.25,15,1,4
250,Yes,3.782,Accounting,40 dresses,0.25,1200 pieces,0.25,2000 pizzas,0.25,"Fixed: Rent, Utilities, and Management; Variable: Cost of beans, milk, sugar, and barista labor",0.25,Perception,0.25,Consumers are more likely to buy a product if they perceive it as high-quality.,0,Product Distribution,0.25,Color preference of the target segment,0.25,All of the above,0.25,"""EcoSteps, the premium, sustainable sneaker for environmentally conscious consumers.""",0.25,A positioning map would help FitFresh understand consumer perceptions of their offering versus competitors.,0.25,"$1,600 ",0.25,All responses are correct.,0,people,0,FALSE,0,"Segment B, because it aligns better with the companyâ€™s strengths and faces less direct competition",0.25,12,4,4
243,Yes,3.045,Accounting,40 dresses,0.25,1200 pieces,0.25,2000 pizzas,0.25,"Fixed: Rent, Utilities, and Management; Variable: Cost of beans, milk, sugar, and barista labor",0.25,Occupation,0,Consumers are more likely to buy a product if they believe it is unique and not easily available.,0.25,Evaluation of Alternatives,0,Color preference of the target segment,0.25,All of the above,0.25,"""EcoSteps, the premium, sustainable sneaker for environmentally conscious consumers.""",0.25,A positioning map would help FitFresh understand consumer perceptions of their offering versus competitors.,0.25,"$1,600 ",0.25,All responses are correct.,0,brand,0.25,TRUE,0.25,"Segment B, because it aligns better with the companyâ€™s strengths and faces less direct competition",0.25,13,3,4
268,Yes,3.326,Accounting,40 dresses,0.25,2400 pieces,0,3000 pizzas,0,"Fixed: Rent, Utilities, and Management; Variable: Cost of beans, milk, sugar, and barista labor",0.25,Perception,0.25,Consumers are more likely to buy a product if they believe it is unique and not easily available.,0.25,Product Distribution,0.25,Color preference of the target segment,0.25,All of the above,0.25,"""EcoSteps, the premium, sustainable sneaker for environmentally conscious consumers.""",0.25,A positioning map would help FitFresh understand consumer perceptions of their offering versus competitors.,0.25,"$1,600 + the value of social media posts",0,All responses are correct.,0,brand,0.25,TRUE,0.25,"Segment B, because it aligns better with the companyâ€™s strengths and faces less direct competition",0.25,12,4,4
227,Yes,3.772,Accounting,40 dresses,0.25,1200 pieces,0.25,2000 pizzas,0.25,"Fixed: Rent, Utilities, and Management; Variable: Cost of beans, milk, sugar, and barista labor",0.25,Perception,0.25,Consumers are more likely to buy a product if they believe it is unique and not easily available.,0.25,Product Distribution,0.25,Color preference of the target segment,0.25,All of the above,0.25,"""EcoSteps, the premium, sustainable sneaker for environmentally conscious consumers.""",0.25,A positioning map would help FitFresh understand consumer perceptions of their offering versus competitors.,0.25,"$1,600 ",0.25,All responses are correct.,0,brand,0.25,TRUE,0.25,"Segment B, because it aligns better with the companyâ€™s strengths and faces less direct competition",0.25,15,1,4
289,Yes,4,Accounting,40 dresses,0.25,1200 pieces,0.25,2000 pizzas,0.25,"Fixed: Rent, Utilities, and Management; Variable: Cost of beans, milk, sugar, and barista labor",0.25,Perception,0.25,Consumers are more likely to buy a product if they believe it is unique and not easily available.,0.25,Product Distribution,0.25,Color preference of the target segment,0.25,All of the above,0.25,"""EcoSteps, the premium, sustainable sneaker for environmentally conscious consumers.""",0.25,A positioning map would help FitFresh understand consumer perceptions of their offering versus competitors.,0.25,"$1,600 ",0.25,Different market segments require different marketing mixes.,0.25,brand,0.25,TRUE,0.25,"Segment B, because it aligns better with the companyâ€™s strengths and faces less direct competition",0.25,16,0,4
283,Yes,3.725,Accounting,40 dresses,0.25,1200 pieces,0.25,2000 pizzas,0.25,"Fixed: Rent, Utilities, and Management; Variable: Cost of beans, milk, sugar, and barista labor",0.25,Perception,0.25,Consumers are more likely to buy a product if they believe it is unique and not easily available.,0.25,Post-Purchase Evaluation,0,Degree of competition,0,All of the above,0.25,"""EcoSteps, the premium, sustainable sneaker for environmentally conscious consumers.""",0.25,A positioning map would help FitFresh understand consumer perceptions of their offering versus competitors.,0.25,"$1,600 ",0.25,All responses are correct.,0,brand,0.25,TRUE,0.25,"Segment A, because it has the largest number of potential customers",0,12,4,4
301,Yes,3.413,Accounting,80 dresses,0,2400 pieces,0,2000 pizzas,0.25,"Fixed: Rent, Utilities, and Management; Variable: Cost of beans, milk, sugar, and barista labor",0.25,Perception,0.25,Consumers are more likely to buy a product if they believe it is abundant.,0,Product Distribution,0.25,Degree of competition,0,All of the above,0.25,"""EcoSteps, the premium, sustainable sneaker for environmentally conscious consumers.""",0.25,A positioning map would help FitFresh understand consumer perceptions of their offering versus competitors.,0.25,"$1,600 ",0.25,Different market segments require different marketing mixes.,0.25,brand,0.25,TRUE,0.25,"Segment B, because it aligns better with the companyâ€™s strengths and faces less direct competition",0.25,12,4,4
